                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3774,                 1.7405,                  1.434,                 0.4294,                0.41013,                0.37277,                0.16832,                 1.9686,                  2.366,                 1.9551,             0.00066456,             0.00066456,             0.00066456
                      2,                 1.3715,                 1.4696,                 1.4429,                0.70493,                0.57848,                0.65501,                0.36724,                 1.4448,                 1.5806,                  1.537,             0.00067227,             0.00067227,             0.00067227
